PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
38779-2778_3c0614fa-ee32-46ca-e054-00144ff8d46c,38779-2778,38779-2778-8,500 g in 1 JAR (38779-2778-8)
38779-2778_3c0614fa-ee32-46ca-e054-00144ff8d46c,38779-2778,38779-2778-9,1000 g in 1 JAR (38779-2778-9)
38779-2780_3c644e9d-1d2d-3877-e054-00144ff8d46c,38779-2780,38779-2780-4,25 g in 1 JAR (38779-2780-4)
38779-2780_3c644e9d-1d2d-3877-e054-00144ff8d46c,38779-2780,38779-2780-5,100 g in 1 JAR (38779-2780-5)
38779-2780_3c644e9d-1d2d-3877-e054-00144ff8d46c,38779-2780,38779-2780-8,500 g in 1 JAR (38779-2780-8)
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-2,"7.5 g in 1 BOTTLE, GLASS (38779-2781-2)"
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-3,5000 g in 1 PAIL (38779-2781-3)
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-4,25 g in 1 JAR (38779-2781-4)
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-5,100 g in 1 JAR (38779-2781-5)
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-7,25000 g in 1 DRUM (38779-2781-7)
38779-2781_20d008d5-f247-4f82-8ff3-bf6945f777d4,38779-2781,38779-2781-9,1000 g in 1 JAR (38779-2781-9)
38779-2782_223ce62b-2106-6b49-e054-00144ff8d46c,38779-2782,38779-2782-4,25 g in 1 JAR (38779-2782-4)
38779-2782_223ce62b-2106-6b49-e054-00144ff8d46c,38779-2782,38779-2782-5,100 g in 1 JAR (38779-2782-5)
38779-2782_223ce62b-2106-6b49-e054-00144ff8d46c,38779-2782,38779-2782-8,500 g in 1 JAR (38779-2782-8)
38779-2782_223ce62b-2106-6b49-e054-00144ff8d46c,38779-2782,38779-2782-9,1000 g in 1 JAR (38779-2782-9)
38779-2783_de948942-92c7-4bbd-81af-552288b27adb,38779-2783,38779-2783-3,5 g in 1 VIAL (38779-2783-3)
38779-2783_de948942-92c7-4bbd-81af-552288b27adb,38779-2783,38779-2783-4,25 g in 1 JAR (38779-2783-4)
38779-2783_de948942-92c7-4bbd-81af-552288b27adb,38779-2783,38779-2783-5,100 g in 1 JAR (38779-2783-5)
38779-2783_de948942-92c7-4bbd-81af-552288b27adb,38779-2783,38779-2783-9,1000 g in 1 JAR (38779-2783-9)
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-1,"10 g in 1 BOTTLE, GLASS (38779-2784-1)"
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-3,"5 g in 1 BOTTLE, GLASS (38779-2784-3)"
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-4,25 g in 1 JAR (38779-2784-4)
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-5,100 g in 1 JAR (38779-2784-5)
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-7,25000 g in 1 DRUM (38779-2784-7)
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-8,500 g in 1 JAR (38779-2784-8)
38779-2784_3ad1bc1f-7b1f-2552-e054-00144ff8d46c,38779-2784,38779-2784-9,1000 g in 1 JAR (38779-2784-9)
38779-2791_40c35aea-b7ad-4544-9b67-70fe6547516b,38779-2791,38779-2791-4,25 g in 1 JAR (38779-2791-4)
38779-2791_40c35aea-b7ad-4544-9b67-70fe6547516b,38779-2791,38779-2791-5,100 g in 1 JAR (38779-2791-5)
38779-2791_40c35aea-b7ad-4544-9b67-70fe6547516b,38779-2791,38779-2791-7,25000 g in 1 DRUM (38779-2791-7)
