PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
40006-040_6c3ce966-d427-47b1-83e2-1ae01a7d565c,40006-040,40006-040-01,40 kg in 1 DRUM (40006-040-01)
40016-001_e2f4cea4-3b04-415a-b783-c5f2da692d9d,40016-001,40016-001-01,"300 g in 1 BOTTLE, GLASS (40016-001-01)"
40016-002_5b4523e0-cb6b-4f19-a113-014042b4564a,40016-002,40016-002-01,"1000 g in 1 BOTTLE, GLASS (40016-002-01)"
40016-003_2ccb8a36-4a37-4913-8804-b31681e4d9cc,40016-003,40016-003-01,1000 kg in 1 BAG (40016-003-01)
40016-004_7dcb56ff-4da0-491c-aed4-d768abac49bf,40016-004,40016-004-01,5000 g in 1 CAN (40016-004-01)
40016-005_3e00aec9-050a-4e06-a5a8-45a57bcb10a2,40016-005,40016-005-01,"1000 g in 1 BOTTLE, GLASS (40016-005-01)"
40016-006_8042a3a3-d39d-4954-a405-0e5470a2b44c,40016-006,40016-006-01,"500 g in 1 BOTTLE, GLASS (40016-006-01)"
40016-007_66266f83-0ea3-492c-96ff-390401bea428,40016-007,40016-007-01,100 kg in 1 CAN (40016-007-01)
40016-008_7e553a19-0039-4482-887f-72fa80e8013d,40016-008,40016-008-01,"300 g in 1 BOTTLE, GLASS (40016-008-01)"
40016-009_b2929134-c7a3-40b4-971e-a34370657a32,40016-009,40016-009-01,"300 g in 1 BOTTLE, GLASS (40016-009-01)"
40016-010_d1a8f37d-e4db-446d-b0af-f6d33f923794,40016-010,40016-010-01,"100 g in 1 BOTTLE, GLASS (40016-010-01)"
40074-0001_b026e13c-d9af-42a3-b1a4-a35f5e6cc350,40074-0001,40074-0001-1,1 BAG in 1 DRUM (40074-0001-1)  > 25 kg in 1 BAG
40074-0002_6da54d1e-b72f-40d4-aa45-62cfc4b72853,40074-0002,40074-0002-1,"2 g in 1 BOTTLE, GLASS (40074-0002-1)"
